rank_number,game_name,Platform,year_realse,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,41.5,29,3.8,8.5,82.7
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.1,3.6,6.8,0.8,40.2
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.9,12.9,3.8,3.3,35.8
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.8,11,3.3,3,33
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.3,8.9,10.2,1,31.4
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.3,4.2,0.6,30.3
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.4,9.2,6.5,2.9,30
8,Wii Play,Wii,2006,Misc,Nintendo,14,9.2,2.9,2.9,29
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.6,7.1,4.7,2.3,28.6
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.9,0.6,0.3,0.5,28.3
11,Nintendogs,DS,2005,Simulation,Nintendo,9.1,11,1.9,2.8,24.8
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.8,7.6,4.1,1.9,23.4
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.2,7.2,0.7,23.1
14,Wii Fit,Wii,2007,Sports,Nintendo,8.9,8,3.6,2.2,22.7
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.1,8.6,2.5,1.8,22
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15,4.9,0.2,1.7,21.8
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7,9.3,1,4.1,21.4
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.4,0.4,0.4,10.6,20.8
19,Super Mario World,SNES,1990,Platform,Nintendo,12.8,3.8,3.5,0.6,20.6
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.8,9.3,4.2,2.1,20.2
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.4,4.5,6,1.4,18.4
22,Super Mario Land,GB,1989,Platform,Nintendo,10.8,2.7,4.2,0.4,18.1
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.5,3.4,3.8,0.5,17.3
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.6,5.3,0.1,1.4,16.4
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.4,5.5,0.5,1.8,16.2
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.1,3.9,5.4,0.5,15.9
