Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,$41.5,$29.0,$3.8,$8.5,$82.7
2,Super Mario Bros.,NES,1985,Platform,Nintendo,$29.1,$3.6,$6.8,$0.8,$40.2
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,$15.9,$12.9,$3.8,$3.3,$35.8
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,$15.8,$11.0,$3.3,$3.0,$33.0
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,$11.3,$8.9,$10.2,$1.0,$31.4
6,Tetris,GB,1989,Puzzle,Nintendo,$23.2,$2.3,$4.2,$0.6,$30.3
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,$11.4,$9.2,$6.5,$2.9,$30.0
8,Wii Play,Wii,2006,Misc,Nintendo,$14.0,$9.2,$2.9,$2.9,$29.0
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,$14.6,$7.1,$4.7,$2.3,$28.6
10,Duck Hunt,NES,1984,Shooter,Nintendo,$26.9,$0.6,$0.3,$0.5,$28.3
11,Nintendogs,DS,2005,Simulation,Nintendo,$9.1,$11.0,$1.9,$2.8,$24.8
12,Mario Kart DS,DS,2005,Racing,Nintendo,$9.8,$7.6,$4.1,$1.9,$23.4
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,$9.0,$6.2,$7.2,$0.7,$23.1
14,Wii Fit,Wii,2007,Sports,Nintendo,$8.9,$8.0,$3.6,$2.2,$22.7
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,$9.1,$8.6,$2.5,$1.8,$22.0
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,$15.0,$4.9,$0.2,$1.7,$21.8
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,$7.0,$9.3,$1.0,$4.1,$21.4
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,$9.4,$0.4,$0.4,$10.6,$20.8
19,Super Mario World,SNES,1990,Platform,Nintendo,$12.8,$3.8,$3.5,$0.6,$20.6
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,$4.8,$9.3,$4.2,$2.1,$20.2
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,$6.4,$4.5,$6.0,$1.4,$18.4
22,Super Mario Land,GB,1989,Platform,Nintendo,$10.8,$2.7,$4.2,$0.4,$18.1
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,$9.5,$3.4,$3.8,$0.5,$17.3
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,$9.6,$5.3,$0.1,$1.4,$16.4
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,$8.4,$5.5,$0.5,$1.8,$16.2
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,$6.1,$3.9,$5.4,$0.5,$15.9
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,$5.6,$3.3,$5.7,$0.8,$15.3
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,$3.4,$5.4,$5.3,$1.2,$15.3
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,$6.9,$5.1,$1.9,$1.2,$15.0
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,$9.0,$4.3,$0.1,$1.3,$14.8
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,$5.9,$5.0,$3.1,$0.6,$14.6
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,$9.7,$3.7,$0.1,$1.1,$14.6
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,$5.2,$4.1,$4.3,$0.8,$14.4
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,$5.8,$5.8,$0.4,$2.3,$14.2
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,$5.0,$5.9,$0.7,$2.5,$14.0
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,$8.3,$4.3,$0.1,$1.1,$13.7
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,$8.5,$3.6,$0.1,$1.3,$13.5
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,$5.5,$5.8,$0.5,$1.6,$13.5
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,$7.0,$4.5,$0.3,$1.3,$13.1
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,$6.8,$2.6,$2.7,$1.0,$13.0
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,$6.0,$4.4,$0.5,$1.8,$12.7
42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,$2.6,$3.5,$5.3,$0.9,$12.3
43,Mario Kart 7,3DS,2011,Racing,Nintendo,$4.7,$3.9,$2.7,$0.9,$12.2
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,$8.0,$2.8,$0.1,$1.2,$12.1
45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,$3.8,$5.8,$0.4,$2.0,$12.0
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,$4.4,$2.8,$4.0,$0.8,$11.9
47,Super Mario 64,N64,1996,Platform,Nintendo,$6.9,$2.9,$1.9,$0.2,$11.9
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,$3.0,$0.0,$1.1,$7.5,$11.7
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,$6.2,$3.4,$1.2,$0.8,$11.5
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,$4.2,$3.4,$3.1,$0.7,$11.3
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,$6.2,$2.0,$2.7,$0.3,$11.2
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,$6.8,$3.1,$0.1,$1.0,$11.0
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,$4.0,$3.9,$2.5,$0.5,$11.0
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,$4.9,$3.0,$2.1,$0.8,$10.8
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,$3.0,$4.9,$0.8,$2.1,$10.8
